Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
HST;Hauptstelle Tübingen;05.05.2020;;;Einmalig
MZU;Medienzentrum;05.05.2020;;;Einmalig
WO;Waldhäuser-Ost;05.05.2020;;;Einmalig
D;Derendingen;06.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;06.05.2020;;;Einmalig
Hi;Hirschau;06.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;06.05.2020;;;Einmalig
MZU;Medienzentrum;06.05.2020;;;Einmalig
WO;Waldhäuser-Ost;06.05.2020;;;Einmalig
D;Derendingen;07.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;07.05.2020;;;Einmalig
Hi;Hirschau;07.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;07.05.2020;;;Einmalig
MZU;Medienzentrum;07.05.2020;;;Einmalig
WO;Waldhäuser-Ost;07.05.2020;;;Einmalig
D;Derendingen;08.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;08.05.2020;;;Einmalig
Hi;Hirschau;08.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;08.05.2020;;;Einmalig
MZU;Medienzentrum;08.05.2020;;;Einmalig
WO;Waldhäuser-Ost;08.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;09.05.2020;;;Einmalig
Hi;Hirschau;09.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;09.05.2020;;;Einmalig
D;Derendingen;11.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;11.05.2020;;;Einmalig
Hi;Hirschau;11.05.2020;;;Einmalig
MZU;Medienzentrum;11.05.2020;;;Einmalig
WO;Waldhäuser-Ost;11.05.2020;;;Einmalig
D;Derendingen;12.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;12.05.2020;;;Einmalig
Hi;Hirschau;12.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;12.05.2020;;;Einmalig
MZU;Medienzentrum;12.05.2020;;;Einmalig
WO;Waldhäuser-Ost;12.05.2020;;;Einmalig
D;Derendingen;13.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;13.05.2020;;;Einmalig
Hi;Hirschau;13.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;13.05.2020;;;Einmalig
MZU;Medienzentrum;13.05.2020;;;Einmalig
WO;Waldhäuser-Ost;13.05.2020;;;Einmalig
D;Derendingen;14.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;14.05.2020;;;Einmalig
Hi;Hirschau;14.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;14.05.2020;;;Einmalig
MZU;Medienzentrum;14.05.2020;;;Einmalig
WO;Waldhäuser-Ost;14.05.2020;;;Einmalig
D;Derendingen;15.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;15.05.2020;;;Einmalig
Hi;Hirschau;15.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;15.05.2020;;;Einmalig
MZU;Medienzentrum;15.05.2020;;;Einmalig
WO;Waldhäuser-Ost;15.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;16.05.2020;;;Einmalig
Hi;Hirschau;16.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;16.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;17.05.2020;;;Einmalig
D;Derendingen;18.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;18.05.2020;;;Einmalig
Hi;Hirschau;18.05.2020;;;Einmalig
MZU;Medienzentrum;18.05.2020;;;Einmalig
WO;Waldhäuser-Ost;18.05.2020;;;Einmalig
D;Derendingen;19.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;19.05.2020;;;Einmalig
Hi;Hirschau;19.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;19.05.2020;;;Einmalig
MZU;Medienzentrum;19.05.2020;;;Einmalig
WO;Waldhäuser-Ost;19.05.2020;;;Einmalig
D;Derendingen;20.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;20.05.2020;;;Einmalig
Hi;Hirschau;20.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;20.05.2020;;;Einmalig
MZU;Medienzentrum;20.05.2020;;;Einmalig
WO;Waldhäuser-Ost;20.05.2020;;;Einmalig
D;Derendingen;21.05.2020;Christi Himmelfahrt;;Einmalig
eBib;Onleihe Neckar-Alb;21.05.2020;Christi Himmelfahrt;;Einmalig
Hi;Hirschau;21.05.2020;Christi Himmelfahrt;;Einmalig
HST;Hauptstelle Tübingen;21.05.2020;Christi Himmelfahrt;;Einmalig
MZU;Medienzentrum;21.05.2020;Christi Himmelfahrt;;Einmalig
WO;Waldhäuser-Ost;21.05.2020;Christi Himmelfahrt;;Einmalig
D;Derendingen;22.05.2020;beweglicher Ferientag;;Einmalig
eBib;Onleihe Neckar-Alb;22.05.2020;beweglicher Ferientag;;Einmalig
Hi;Hirschau;22.05.2020;beweglicher Ferientag;;Einmalig
HST;Hauptstelle Tübingen;22.05.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;22.05.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;22.05.2020;beweglicher Ferientag;;Einmalig
eBib;Onleihe Neckar-Alb;23.05.2020;;;Einmalig
Hi;Hirschau;23.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;23.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;24.05.2020;;;Einmalig
D;Derendingen;25.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;25.05.2020;;;Einmalig
Hi;Hirschau;25.05.2020;;;Einmalig
MZU;Medienzentrum;25.05.2020;;;Einmalig
WO;Waldhäuser-Ost;25.05.2020;;;Einmalig
D;Derendingen;26.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;26.05.2020;;;Einmalig
Hi;Hirschau;26.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;26.05.2020;;;Einmalig
MZU;Medienzentrum;26.05.2020;;;Einmalig
WO;Waldhäuser-Ost;26.05.2020;;;Einmalig
D;Derendingen;27.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;27.05.2020;;;Einmalig
Hi;Hirschau;27.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;27.05.2020;;;Einmalig
MZU;Medienzentrum;27.05.2020;;;Einmalig
WO;Waldhäuser-Ost;27.05.2020;;;Einmalig
D;Derendingen;28.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;28.05.2020;;;Einmalig
Hi;Hirschau;28.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;28.05.2020;;;Einmalig
MZU;Medienzentrum;28.05.2020;;;Einmalig
WO;Waldhäuser-Ost;28.05.2020;;;Einmalig
D;Derendingen;29.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;29.05.2020;;;Einmalig
Hi;Hirschau;29.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;29.05.2020;;;Einmalig
MZU;Medienzentrum;29.05.2020;;;Einmalig
WO;Waldhäuser-Ost;29.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;30.05.2020;;;Einmalig
Hi;Hirschau;30.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;30.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;31.05.2020;;;Einmalig
D;Derendingen;01.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;01.06.2020;;;Einmalig
Hi;Hirschau;01.06.2020;;;Einmalig
MZU;Medienzentrum;01.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;01.06.2020;Pfingstferien;;Einmalig
D;Derendingen;02.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;02.06.2020;;;Einmalig
Hi;Hirschau;02.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;02.06.2020;;;Einmalig
MZU;Medienzentrum;02.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;02.06.2020;Pfingstferien;;Einmalig
D;Derendingen;03.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;03.06.2020;;;Einmalig
Hi;Hirschau;03.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;03.06.2020;;;Einmalig
MZU;Medienzentrum;03.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;03.06.2020;Pfingstferien;;Einmalig
D;Derendingen;04.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;04.06.2020;;;Einmalig
Hi;Hirschau;04.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;04.06.2020;;;Einmalig
MZU;Medienzentrum;04.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;04.06.2020;Pfingstferien;;Einmalig
D;Derendingen;05.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;05.06.2020;;;Einmalig
Hi;Hirschau;05.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;05.06.2020;;;Einmalig
MZU;Medienzentrum;05.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;05.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;06.06.2020;;;Einmalig
Hi;Hirschau;06.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;06.06.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;07.06.2020;;;Einmalig
D;Derendingen;08.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;08.06.2020;;;Einmalig
Hi;Hirschau;08.06.2020;;;Einmalig
MZU;Medienzentrum;08.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;08.06.2020;Pfingstferien;;Einmalig
D;Derendingen;09.06.2020;Pfingstferien;;Einmalig
eBib;Onleihe Neckar-Alb;09.06.2020;;;Einmalig
Hi;Hirschau;09.06.2020;;;Einmalig
HST;Hauptstelle Tübingen;09.06.2020;;;Einmalig
MZU;Medienzentrum;09.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;09.06.2020;Pfingstferien;;Einmalig
D;Derendingen;10.06.2020;Pfingstferien;;Einmalig
MZU;Medienzentrum;10.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;10.06.2020;Pfingstferien;;Einmalig
D;Derendingen;11.06.2020;Pfingstferien;;Einmalig
MZU;Medienzentrum;11.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;11.06.2020;Pfingstferien;;Einmalig
D;Derendingen;12.06.2020;Pfingstferien;;Einmalig
MZU;Medienzentrum;12.06.2020;Pfingstferien;;Einmalig
WO;Waldhäuser-Ost;12.06.2020;Pfingstferien;;Einmalig
HST;Hauptstelle Tübingen;16.06.2020;;;Einmalig
D;Derendingen;30.07.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;30.07.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;30.07.2020;Sommerferien;;Einmalig
D;Derendingen;31.07.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;31.07.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;31.07.2020;Sommerferien;;Einmalig
D;Derendingen;03.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;03.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;03.08.2020;Sommerferien;;Einmalig
D;Derendingen;04.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;04.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;04.08.2020;Sommerferien;;Einmalig
D;Derendingen;05.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;05.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;05.08.2020;Sommerferien;;Einmalig
D;Derendingen;06.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;06.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;06.08.2020;Sommerferien;;Einmalig
D;Derendingen;07.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;07.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;07.08.2020;Sommerferien;;Einmalig
D;Derendingen;10.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;10.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;10.08.2020;Sommerferien;;Einmalig
D;Derendingen;11.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;11.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;11.08.2020;Sommerferien;;Einmalig
D;Derendingen;12.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;12.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;12.08.2020;Sommerferien;;Einmalig
D;Derendingen;13.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;13.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;13.08.2020;Sommerferien;;Einmalig
D;Derendingen;14.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;14.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;14.08.2020;Sommerferien;;Einmalig
D;Derendingen;17.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;17.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;17.08.2020;Sommerferien;;Einmalig
D;Derendingen;18.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;18.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;18.08.2020;Sommerferien;;Einmalig
D;Derendingen;19.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;19.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;19.08.2020;Sommerferien;;Einmalig
D;Derendingen;20.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;20.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;20.08.2020;Sommerferien;;Einmalig
D;Derendingen;21.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;21.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;21.08.2020;Sommerferien;;Einmalig
D;Derendingen;24.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;24.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;24.08.2020;Sommerferien;;Einmalig
D;Derendingen;25.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;25.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;25.08.2020;Sommerferien;;Einmalig
D;Derendingen;26.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;26.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;26.08.2020;Sommerferien;;Einmalig
D;Derendingen;27.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;27.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;27.08.2020;Sommerferien;;Einmalig
D;Derendingen;28.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;28.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;28.08.2020;Sommerferien;;Einmalig
D;Derendingen;31.08.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;31.08.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;31.08.2020;Sommerferien;;Einmalig
D;Derendingen;01.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;01.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;01.09.2020;Sommerferien;;Einmalig
D;Derendingen;02.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;02.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;02.09.2020;Sommerferien;;Einmalig
D;Derendingen;03.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;03.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;03.09.2020;Sommerferien;;Einmalig
D;Derendingen;04.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;04.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;04.09.2020;Sommerferien;;Einmalig
D;Derendingen;07.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;07.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;07.09.2020;Sommerferien;;Einmalig
D;Derendingen;08.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;08.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;08.09.2020;Sommerferien;;Einmalig
D;Derendingen;09.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;09.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;09.09.2020;Sommerferien;;Einmalig
D;Derendingen;10.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;10.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;10.09.2020;Sommerferien;;Einmalig
D;Derendingen;11.09.2020;Sommerferien;;Einmalig
MZU;Medienzentrum;11.09.2020;Sommerferien;;Einmalig
WO;Waldhäuser-Ost;11.09.2020;Sommerferien;;Einmalig
D;Derendingen;15.09.2020;Sonderschließtag;;Einmalig
MZU;Medienzentrum;15.09.2020;Sonderschließtag;;Einmalig
WO;Waldhäuser-Ost;15.09.2020;Sonderschließtag;;Einmalig
D;Derendingen;16.09.2020;Sonderschließtag;;Einmalig
MZU;Medienzentrum;16.09.2020;Sonderschließtag;;Einmalig
WO;Waldhäuser-Ost;16.09.2020;Sonderschließtag;;Einmalig
D;Derendingen;17.09.2020;Sonderschließtag;;Einmalig
MZU;Medienzentrum;17.09.2020;Sonderschließtag;;Einmalig
WO;Waldhäuser-Ost;17.09.2020;Sonderschließtag;;Einmalig
D;Derendingen;26.10.2020;Herbstferien;;Einmalig
MZU;Medienzentrum;26.10.2020;Herbstferien;;Einmalig
WO;Waldhäuser-Ost;26.10.2020;Herbstferien;;Einmalig
D;Derendingen;27.10.2020;Herbstferien;;Einmalig
MZU;Medienzentrum;27.10.2020;Herbstferien;;Einmalig
WO;Waldhäuser-Ost;27.10.2020;Herbstferien;;Einmalig
D;Derendingen;28.10.2020;Herbstferien;;Einmalig
MZU;Medienzentrum;28.10.2020;Herbstferien;;Einmalig
WO;Waldhäuser-Ost;28.10.2020;Herbstferien;;Einmalig
D;Derendingen;29.10.2020;Herbstferien;;Einmalig
MZU;Medienzentrum;29.10.2020;Herbstferien;;Einmalig
WO;Waldhäuser-Ost;29.10.2020;Herbstferien;;Einmalig
D;Derendingen;30.10.2020;Herbstferien;;Einmalig
MZU;Medienzentrum;30.10.2020;Herbstferien;;Einmalig
WO;Waldhäuser-Ost;30.10.2020;Herbstferien;;Einmalig
D;Derendingen;04.12.2020;Außerplanmäßige Schließung;;Einmalig
D;Derendingen;07.12.2020;Außerplanmäßige Schließung;;Einmalig
D;Derendingen;15.12.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;15.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;15.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;15.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;15.12.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;15.12.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;16.12.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;16.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;16.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;16.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;16.12.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;16.12.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;17.12.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;17.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;17.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;17.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;17.12.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;17.12.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;18.12.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;18.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;18.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;18.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;18.12.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;19.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;19.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;19.12.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;20.12.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;21.12.2020;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;21.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;21.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;21.12.2020;;;Einmalig
WO;Waldhäuser-Ost;21.12.2020;Einmaliger Schließtag;;Einmalig
D;Derendingen;22.12.2020;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;22.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;22.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;22.12.2020;;;Einmalig
MZU;Medienzentrum;22.12.2020;;;Einmalig
WO;Waldhäuser-Ost;22.12.2020;Einmaliger Schließtag;;Einmalig
D;Derendingen;23.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;23.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;23.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;23.12.2020;;;Einmalig
MZU;Medienzentrum;23.12.2020;Weihnachtsferien;;Einmalig
WO;Waldhäuser-Ost;23.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;27.12.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;28.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;28.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;28.12.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;28.12.2020;Weihnachtsferien;;Einmalig
WO;Waldhäuser-Ost;28.12.2020;Weihnachtsferien;;Einmalig
D;Derendingen;29.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;29.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;29.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;29.12.2020;;;Einmalig
MZU;Medienzentrum;29.12.2020;Weihnachtsferien;;Einmalig
WO;Waldhäuser-Ost;29.12.2020;Weihnachtsferien;;Einmalig
D;Derendingen;30.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;30.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;30.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;30.12.2020;;;Einmalig
MZU;Medienzentrum;30.12.2020;Weihnachtsferien;;Einmalig
WO;Waldhäuser-Ost;30.12.2020;Weihnachtsferien;;Einmalig
D;Derendingen;31.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;31.12.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;31.12.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;31.12.2020;;;Einmalig
MZU;Medienzentrum;31.12.2020;Weihnachtsferien;;Einmalig
WO;Waldhäuser-Ost;31.12.2020;Weihnachtsferien;;Einmalig
eBib;Onleihe Neckar-Alb;01.01.2021;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;02.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;02.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;02.01.2021;;;Einmalig
eBib;Onleihe Neckar-Alb;03.01.2021;Sonderschließzeit Corona;;Einmalig
D;Derendingen;04.01.2021;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;04.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;04.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;04.01.2021;;;Einmalig
WO;Waldhäuser-Ost;04.01.2021;Einmaliger Schließtag;;Einmalig
D;Derendingen;05.01.2021;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;05.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;05.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;05.01.2021;;;Einmalig
MZU;Medienzentrum;05.01.2021;;;Einmalig
WO;Waldhäuser-Ost;05.01.2021;Einmaliger Schließtag;;Einmalig
D;Derendingen;07.01.2021;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;07.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;07.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;07.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;07.01.2021;;;Einmalig
WO;Waldhäuser-Ost;07.01.2021;Einmaliger Schließtag;;Einmalig
D;Derendingen;08.01.2021;Einmaliger Schließtag;;Einmalig
eBib;Onleihe Neckar-Alb;08.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;08.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;08.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;08.01.2021;;;Einmalig
eBib;Onleihe Neckar-Alb;09.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;09.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;09.01.2021;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;10.01.2021;Sonderschließzeit Corona;;Einmalig
D;Derendingen;11.01.2021;;;Einmalig
eBib;Onleihe Neckar-Alb;11.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;11.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;11.01.2021;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;11.01.2021;Sonderschließzeit Corona;;Einmalig
D;Derendingen;12.01.2021;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;12.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;12.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;12.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;12.01.2021;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;12.01.2021;Sonderschließzeit Corona;;Einmalig
D;Derendingen;13.01.2021;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;13.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;13.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;13.01.2021;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;13.01.2021;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;13.01.2021;Sonderschließzeit Corona;;Einmalig
D;Derendingen;14.01.2021;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;14.01.2021;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;14.01.2021;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;14.01.2021;Sonderschließzeit Corona;;Einmalig
